candidate_store_id,source_store_id,store_name,brand,admin_dong,road_address,jibun_address,longitude,latitude,recommended_public_facility_program,recommended_program_score,component_young_worker,component_health_dolbom,component_airport_mobility_support,component_general_life_admin,store_context_exploration_score,nearest_subway_station_name,nearest_subway_station_distance_m,subway_station_count_500m,subway_station_count_800m,nearest_medical_name,nearest_medical_distance_m,medical_count_500m,medical_count_800m,other_convenience_count_250m,other_convenience_count_500m,nearest_other_convenience_distance_m,nearest_magok_business_axis_name,nearest_magok_business_axis_distance_m,nearest_gimpo_airport_axis_name,nearest_gimpo_airport_axis_distance_m,resident_population,households,share_20_39_pct,share_60_plus_pct,share_20_39_pct_2030_projection,share_60_plus_pct_2030_projection,inbound_to_candidate,outbound_from_candidate,candidate_internal_or_between,evidence_summary,overall_program_rank
GS_CONV_0398,MA0101202406A0391103,세븐일레븐S,세븐일레븐,가양1동,서울특별시 강서구 공항대로 267,서울특별시 강서구 마곡동 727-1496,126.837305567326,37.5590285388509,청년·직장인 생활지원형 공공시설,0.9261413809052637,0.9261413809052637,0.37034572281053657,0.7711741549218764,0.7469378262139115,0.7000653730676597,발산(5호선),57.6,1,1,바른마음한의원마곡발산점,43.8,136,176,20,43,65.3,발산(5호선),57.6,김포공항(서해선),2942.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 57.6m, 500m 병의원 136개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",1
GS_CONV_0176,MA010120220803070773,지에스25발산파크점,GS25,가양1동,서울특별시 강서구 공항대로 261,서울특별시 강서구 마곡동 797-4,126.836513043521,37.5591535835773,청년·직장인 생활지원형 공공시설,0.9201466080247442,0.9201466080247442,0.36238453431531986,0.7680067073692822,0.7452875546849357,0.69376994366619,발산(5호선),119.1,1,1,휴먼피부과의원,0.7,133,171,19,44,61.3,발산(5호선),119.1,김포공항(서해선),2871.1,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 119.1m, 500m 병의원 133개, 500m 내 편의점 44개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",2
GS_CONV_0241,MA010120220800057342,지에스25마곡,GS25,가양1동,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,126.837247704328,37.5596141065745,청년·직장인 생활지원형 공공시설,0.9156280396586498,0.9156280396586498,0.36100798533481654,0.7603292120289444,0.7384858260779346,0.688593522080245,발산(5호선),118.9,1,1,생명마루한의원,0.4,132,175,18,42,62.2,발산(5호선),118.9,김포공항(서해선),2931.0,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 118.9m, 500m 병의원 132개, 500m 내 편의점 42개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",3
GS_CONV_0277,MA010120220810209522,GS25마곡루체점,GS25,가양1동,서울특별시 강서구 마곡동로4길 23,서울특별시 강서구 마곡동 797-12,126.836206376803,37.5596487063899,청년·직장인 생활지원형 공공시설,0.9105070676073354,0.9105070676073354,0.35483673275101835,0.7592355317728742,0.7373702839123316,0.6836359158066699,발산(5호선),173.9,1,1,연세유앤아이치과의원,0.9,130,168,17,43,61.3,발산(5호선),173.9,김포공항(서해선),2839.2,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 173.9m, 500m 병의원 130개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",4
GS_CONV_0391,MA0101202406A0306222,이마트24마곡골든점,이마트24,가양1동,서울특별시 강서구 마곡중앙6로 89,서울특별시 강서구 마곡동 795-6,126.837291761266,37.5601727848312,청년·직장인 생활지원형 공공시설,0.9099290147510921,0.9099290147510921,0.3545714247207295,0.7537688135080658,0.7370165398719465,0.6845211856112802,발산(5호선),178.2,1,1,리네아의원,36.0,130,175,18,43,36.8,발산(5호선),178.2,김포공항(서해선),2930.6,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 178.2m, 500m 병의원 130개, 500m 내 편의점 43개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",5
GS_CONV_0156,MA010120220806579959,GS25마곡파크뷰점,GS25,가양1동,서울특별시 강서구 마곡중앙6로 85,서울특별시 강서구 마곡동 795-5,126.836884155961,37.5602443020844,청년·직장인 생활지원형 공공시설,0.909849201329806,0.909849201329806,0.3534916827369957,0.755344714435338,0.7389859748027257,0.6847708611746586,발산(5호선),195.7,1,1,리네아의원,72.7,130,174,16,44,36.8,발산(5호선),195.7,김포공항(서해선),2894.3,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 195.7m, 500m 병의원 130개, 500m 내 편의점 44개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",6
GS_CONV_0141,MA010120220809954565,GS25마곡,GS25,가양1동,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,126.827501108791,37.5604111652286,청년·직장인 생활지원형 공공시설,0.9089058616027808,0.9089058616027808,0.29602557074297875,0.7982280477078021,0.7248644921440364,0.6559201432401114,마곡(5호선),182.7,1,3,딱경희한의원,1.9,76,122,7,33,62.9,마곡(5호선),182.7,김포공항(서해선),2067.7,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 마곡(5호선) 182.7m, 500m 병의원 76개, 500m 내 편의점 33개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",7
GS_CONV_0131,MA010120220813128983,세븐마곡에스비점,세븐일레븐,가양1동,서울특별시 강서구 강서로 385,서울특별시 강서구 마곡동 794-1,126.838299258447,37.5600840693644,청년·직장인 생활지원형 공공시설,0.9081671248862075,0.9081671248862075,0.35341699409116567,0.7473549304674472,0.733920059975289,0.6847103063276732,발산(5호선),174.4,1,1,미앤미의원,1.0,129,181,20,42,0.0,발산(5호선),174.4,김포공항(서해선),3019.8,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 발산(5호선) 174.4m, 500m 병의원 129개, 500m 내 편의점 42개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",8
GS_CONV_0199,MA010120220806751979,지에스25S9가양역점,GS25,가양2동,서울특별시 강서구 양천로 485,서울특별시 강서구 가양동 14-61,126.854390628535,37.5615556146655,생활건강·돌봄 상담형 공공시설,0.71131677625087,0.31285020881103404,0.71131677625087,0.3913956645038938,0.19856591375633986,0.3838001001409902,가양(9호선),19.2,1,1,가양삼성정형외과의원,54.7,80,139,5,18,177.1,발산(5호선),1510.3,김포공항(서해선),4432.8,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 19.2m, 500m 병의원 80개, 500m 내 편의점 18개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",75
GS_CONV_0019,MA010120220800868128,이마트24가양역점,이마트24,가양2동,서울특별시 강서구 양천로57길 10-11,서울특별시 강서구 가양동 1480-1,126.852938725956,37.5631665976334,생활건강·돌봄 상담형 공공시설,0.6936194000394712,0.29172608354145135,0.6936194000394712,0.358426234937363,0.17029769496942426,0.3692488450844313,가양(9호선),238.5,1,1,예나산부인과의원,44.7,77,123,9,15,45.2,발산(5호선),1438.7,김포공항(서해선),4307.9,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 238.5m, 500m 병의원 77개, 500m 내 편의점 15개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",78
